Wall time,Step,Value
1615107785.9335425,0,1.08696448802948
1615107787.785941,1,0.9645950198173523
1615107789.625542,2,0.7198453545570374
1615107791.4285505,3,0.21874569356441498
1615107793.234541,4,0.1127605065703392
1615107795.019543,5,0.12008463591337204
1615107796.7803917,6,0.16852214932441711
1615107798.5728981,7,0.0694875568151474
1615107800.3863442,8,0.06091530993580818
1615107802.1818478,9,0.053661148995161057
1615107803.9461906,10,0.03921956196427345
1615107805.7659876,11,0.04231475293636322
1615107807.6392052,13,0.06490388512611389
1615107809.3802354,14,0.04414580017328262
1615107811.178363,15,0.02065286785364151
1615107812.9744592,16,0.08341699093580246
1615107814.9267864,17,0.1047690361738205
1615107816.818709,18,0.06175994500517845
1615107818.621116,19,0.03337286785244942
1615107820.4193738,20,0.0434524342417717
1615107822.4689283,21,0.0799960345029831
1615107824.411307,22,0.05194193869829178
1615107826.2539098,23,0.058727703988552094
1615107828.0642464,25,0.03738994896411896
1615107829.8512485,26,0.05187799036502838
1615107831.6282482,27,0.08127214759588242
1615107833.4262662,28,0.03195040673017502
1615107835.1882741,29,0.0674927830696106
1615107836.9810705,30,0.045435141772031784
1615107838.761071,31,0.011043012142181396
1615107840.5350714,32,0.023111868649721146
1615107842.2800705,33,0.034991927444934845
1615107844.066421,34,0.027335170656442642
1615107845.8474264,35,0.0376790314912796
1615107847.6600091,36,0.04635509476065636
1615107849.466008,38,0.029158953577280045
1615107851.2060168,39,0.03820250555872917
1615107853.0100458,40,0.037949297577142715
1615107854.8080053,41,0.0360352024435997
1615107856.5840163,42,0.054389774799346924
1615107858.3210077,43,0.012099015526473522
1615107860.119008,44,0.035897787660360336
1615107861.9635365,45,0.046983033418655396
1615107863.7295372,46,0.0057084341533482075
1615107865.5575368,47,0.0398082472383976
1615107867.3434615,48,0.03499554470181465
1615107869.1302478,50,0.010737748816609383
1615107870.8836305,51,0.035440843552351
1615107872.6490064,52,0.03259727731347084
1615107874.413778,53,0.0488073006272316
1615107876.1827848,54,0.03492891788482666
1615107877.9802692,55,0.02185841277241707
1615107879.7719872,56,0.054047565907239914
1615107881.6473994,57,0.038662031292915344
1615107883.46548,58,0.03547349572181702
1615107885.3075242,59,0.02022477053105831
1615107887.1662645,60,0.022202931344509125
1615107888.9562051,62,0.017848676070570946
1615107890.7405064,63,0.02933312952518463
1615107892.5077906,64,0.02953796274960041
1615107894.3296523,65,0.021129528060555458
